브랜드명,소분류명,상품명,정가,할인가
마녀공장,선크림,아워 비건 선크림 시카,"26,000원", 
마녀공장,스킨케어 시트마스크팩,아워 비건 어성초 시카 마스크,"3,000원", 
마녀공장,클렌징 폼,아워 비건 어성초 시카 클렌징 폼,"14,000원", 
마녀공장,기초 화장용 크림,아워 비건 어성초 시카 크림,"28,000원", 
마녀공장, ,아워 비건 어성초 98 시카 세럼,"20,000원", 
마녀공장,기초 화장용 스킨,아워 비건 어성초 시카 토너,"24,000원", 
마녀공장,색조 메이크업 립밤,아워 비건 컬러 립밤 그린 핑크,"10,500원", 
마녀공장,색조 메이크업 립밤,아워 비건 립밤,"9,500원", 
마녀공장,스크럽/필링크림,아워 비건 오곡라떼 스크럽 폼,"16,000원", 
마녀공장,선크림,아워 비건 선플루이드 글로우,"28,000원", 
마녀공장,선크림,아워 비건 선크림 베이직,"26,000원", 
스킨푸드,화장 비누,캐롯 카로틴 핸드메이드 솝 (100g),"12,000원", 
스킨푸드,클렌징 워터/젤,캐롯 카로틴 카밍 워터 패드 세트 (50g),"8,000원", 
스킨푸드,기초 화장용 에센스,유자 씨 잡티 맑음 에센스 (150ml),"34,000원", 
스킨푸드,스킨케어 마스크팩,라벤더 푸드마스크 (120g),"15,000원", 
스킨푸드,기초 화장용 크림,캐롯 카로틴 릴리프 크림 (55ml),"30,000원", 
스킨푸드,클렌징 워터/젤,"캐롯 카로틴 카밍 워터 패드 (250g, 60매)","26,000원", 
허블룸,기초 화장용 오일/앰플,비건 뷰티 페이스 오일 30ml,"36,000원","23,400원"
카밀,색조 메이크업 립밤,립밤 3종 (비건),"6,200원","4,650원"
AHC,기능성 아이케어 화장품,퓨어 레스큐 리얼 아이크림 포 페이스 (비건),"20,000원","15,000원"
수이스킨,기초 화장용 오일/앰플,하얀 자작나무 수액 앰플 35ml,"24,000원","16,800원"
수이스킨,화장 비누,맑은 아보밥 비누,"16,000원","8,800원"
비브, ,차가 리바이탈라이징 세럼,"40,000원","24,000원"
온도,기초 화장용 에센스,구절초 수분 진정 에센스,"42,000원","37,800원"
에이트루,클렌징 폼,오리진 퓨어 밸런싱 클렌징 폼,"11,900원","8,449원"
온도,기초 화장용 오일/앰플,구절초 수분 진정 앰플 크림,"39,000원","35,100원"
닥터올가,샴푸,로즈마리 민트 샴푸,"28,000원","19,600원"
잉글롯,색조 메이크업 아이라이너,원 무브 리퀴드 아이라이너,"18,000원", 
잉글롯,베이스 메이크업용 가루파우더,루스 파우더 5종,"38,000원", 
베이지크,기초 화장용 에센스,트리트먼트 로션 120ml,"42,000원", 
싸이닉,기초 화장용 로션,더 심플 데일리 로션 260ml,"14,000원","12,880원"
닥터노아, ,네추럴에프 치약,"12,800원","6,400원"
이즈그린,기초 화장용 크림,LHA 비건 크림,"55,000원","49,500원"
이즈그린,기초 화장용 에센스,LHA 비건 에센스,"59,000원","53,000원"
이즈그린,기초 화장용 스킨,LHA 비건 토너,"39,000원","35,000원"
이즈그린,기능성 화장품 세트,LHA 비건 2종 SET,"94,000원","80,000원"
이즈그린,기능성 화장품 세트,LHA 비건 3종 SET,"153,000원","122,000원"
쏘내추럴,베이스 메이크업용 BB크림,쏘 비건 카밍 비비크림,"24,000원", 
쏘내추럴,선크림,쏘 비건 카밍 선크림,"25,000원", 
쏘내추럴,베이스 메이크업용 가루파우더,쏘 비건 카밍 스킨 파우더,"18,000원","14,400원"
쏘내추럴,스킨케어 곡물팩,어글리 포테이토 마스크,"26,000원","20,800원"
쏘내추럴,스크럽/필링크림,그린빈 커피 스크럽,"28,000원","22,400원"
쏘내추럴,색조 메이크업 속눈썹영양제,쏘 비건 노니 아이래쉬 앰플,"16,000원","11,200원"
쏘내추럴,스킨케어 시트마스크팩,쏘 비건 노니 딥 마스크,"4,000원","2,800원"
쏘내추럴,기초 화장용 스킨,쏘 비건 노니 토너,"24,000원","21,600원"
쏘내추럴,기초 화장용 크림,쏘 비건 노니 크림,"33,000원","29,700원"
쏘내추럴,기초 화장용 오일/앰플,쏘 비건 노니 페이스 오일,"35,000원","28,000원"
쏘내추럴,기능성 화장품 세트,쏘 비건 노니 2종,"57,000원","51,300원"
쏘내추럴,스킨케어 마스크팩,쏘 비건 진저 클레이 마스크,"28,000원","19,600원"
쏘내추럴,바디케어용 때비누,바디워시 바쓰 시카 솝,"16,000원","9,600원"
쏘내추럴,바디케어용 때비누,바디워시 때밀이바쓰,"15,000원","9,000원"
쏘내추럴,기초 화장용 스킨,플랜트 에센스 토너,"25,000원","12,500원"
쏘내추럴,스킨케어 워시오프팩,카보닉 버블 클레이 마스크,"25,000원", 
오드리앤영,스킨케어 시트마스크팩,아이 라이크 레드 스위트원 세럼 마스크,"3,000원", 
오드리앤영,스킨케어 시트마스크팩,아이 라이크 시카 바이옴 세럼 마스크,"3,000원", 
오드리앤영,클렌징 오일,시카 바이옴 클렌징 오일 250ml,"29,000원", 
오드리앤영,클렌징 크림,시카 바이옴 클렌징 밤 100ml,"28,000원", 
오드리앤영, ,아이 라이크 레드 스위트원 세럼 30ml,"32,000원", 
오드리앤영, ,아이 라이크 블루밍 에너지 세럼 30ml,"32,000원", 
오드리앤영,기초 화장용 오일/앰플,아이 라이크 컨센트레이트 오일 30ml,"32,000원", 
오드리앤영, ,아이 라이크 시카 바이옴 세럼 30ml,"32,000원", 
오드리앤영,클렌징 폼,마이크로바이옴 클렌징 폼 120ml,"15,000원","11,250원"
오드리앤영,클렌징 워터/젤,마이크로바이옴 클렌징 워터 400ml,"22,000원","16,500원"
오드리앤영,클렌징 폼,(1+1) 버블 껌 핑크 클렌저 120ml,"12,000원", 
발롱블랑,기능성 영양보습 화장품,비건 알로에베라99 수딩젤 튜브형 200ml,"4,000원","3,600원"
키핀터치,색조 메이크업 립틴트,젤리 립 플럼퍼 틴트,"20,000원","9,900원"
