브랜드,중분류,소분류,상품명,정가,할인가
Inglot,색조 메이크업 립,색조 메이크업 립스틱,립스틱,"28,000", 
Inglot,색조 메이크업 립,색조 메이크업 립스틱,립스틱 매트,"30,000", 
Inglot,색조 메이크업 립,색조 메이크업 립스틱,립새틴 립스틱,"30,000", 
Inglot,색조 메이크업 립,색조 메이크업 립스틱,립새틴 미니,"12,000", 
Inglot,색조 메이크업 립,색조 메이크업 립스틱,AMC 립 펜슬 매트,"26,000", 
Inglot,색조 메이크업 립,색조 메이크업 립틴트,HD 립틴트 매트,"35,000", 
Inglot,색조 메이크업 아이,색조 메이크업 아이라이너,원 무브 리퀴드 아이라이너,"18,000", 
Inglot,색조 메이크업 아이,색조 메이크업 아이라이너,AMC 아이라이너 젤,"29,000", 
Inglot,색조 메이크업 아이,색조 메이크업 아이섀도우,AMC 퓨어 피그먼트 아이 섀도,"28,000", 
Inglot,색조 메이크업 아이,색조 메이크업 마스카라,마스카라,"18,000", 
Inglot,색조 메이크업 아이,색조 메이크업 아이섀도우,듀럴라인,"24,000", 
Inglot,색조 메이크업 아이,색조 메이크업 아이섀도우,아이 섀도 키퍼,"36,000", 
Inglot,베이스 메이크업 제품,베이스 메이크업용 가루파우더,퍼펙트 피니쉬 루스 파우더,"38,000", 
Inglot,베이스 메이크업 제품,베이스 메이크업용 컨실러,올 커버드 컨실러,"25,000", 
Inglot,색조 메이크업 기타,색조 메이크업 볼터치,AMC 페이스 리퀴드 블러쉬,"34,000", 
Inglot,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,인텐스 스파클러 FEB 하이라이터,"32,000", 
Inglot,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,미디엄 스파클러 FEB 하이라이터,"38,000", 
Inglot,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,소프트 스파클러 FEB 하이라이터,"42,000", 
Inglot,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,AMC 페이스 & 바디 일루미네이터,"34,000", 
Inglot,베이스 메이크업 제품,베이스 메이크업용 컨실러,AMC 크림 컨실러,"18,000", 
Inglot,베이스 메이크업 제품,베이스 메이크업용 메이크업베이스,언더 메이크업 베이스,"35,000", 
