브랜드명,소분류명,상품명,정가,할인가
아로마티카,스킨 케어,티트리 밸런싱 클렌징 바,"15,000원","9,000원"
아로마티카,스킨 케어,티트리 포어 퓨리파잉 클렌징 워터1% 나이아신아마이드+0.5% BHA,"22,000원","13,200원"
아로마티카,스킨 케어,티트리 포어 퓨리파잉 클렌징 워터 리필1% 나이아신아마이드+0.5% BHA 300ml,"20,000원","12,000원"
아로마티카,스킨 케어,알로에 하이펙티브 클렌저5% Hyaluronic sol.+ 0.1% Enzyme,"16,000원","9,600원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 올인원 워시,"18,000원","10,800원"
아로마티카,스킨 케어,컴포팅 칼렌듈라 디콕션 클렌징 무스,"22,000원","13,200원"
아로마티카,스킨 케어,컴포팅 칼렌듈라 디콕션 클렌징 무스 리필 300ml,"29,000원","17,400원"
아로마티카,스킨 케어,리바이빙 로즈 인퓨전 크림 클렌저,"20,000원","12,000원"
아로마티카,스킨 케어,티트리 밸런싱 포밍 클렌저,"18,000원","10,800원"
아로마티카,스킨 케어,오렌지 클렌징 샤베트,"30,000원","18,000원"
아로마티카,스킨 케어,내추럴 코코넛 클렌징 오일,"33,000원","19,800원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 올인원 워시 리필 500ml,"22,000원","13,200원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 디콕션 토너,"20,000원","12,000원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 디콕션 토너 리필 300ml,"18,000원","10,800원"
아로마티카,스킨 케어,티트리 밸런싱 토너,"27,000원","16,200원"
아로마티카,스킨 케어,티트리 밸런싱 토너 리필 300ml,"30,000원","18,000원"
아로마티카,스킨 케어,리바이빙 로즈 인퓨전 트리트먼트 토너,"35,000원","21,000원"
아로마티카,스킨 케어,알로에 하이펙티브 토너5% Hyaluronic sol. + 2% PHA,"19,000원","11,400원"
아로마티카,스킨 케어,스킨케어 베스트 트리오 세트,"59,000원","35,400원"
아로마티카,스킨 케어,알로에 하이펙티브 세럼40% Hyaluronic sol. + 1% B5,"27,000원","16,200원"
아로마티카,스킨 케어,티트리 포어 퓨리파잉 세럼10% Niacinamide + 1% Zinc PCA,"29,000원","17,400원"
아로마티카,스킨 케어,리바이빙 로즈 인퓨전 세럼,"35,000원","21,000원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 컨센트레이티드 에센스,"28,000원","16,800원"
아로마티카,스킨 케어,리바이빙 로즈 트라이얼 세트(세럼 100ml+크림 20ml),"37,000원","22,200원"
아로마티카,스킨 케어,티트리 밸런싱 에멀전,"29,000원","17,400원"
아로마티카,스킨 케어,수딩 알로에 아쿠아 크림,"16,000원","9,600원"
아로마티카,스킨 케어,알로에 하이펙티브 크림5% Hyaluronic sol. + 5% Collagen sol.,"26,000원","15,600원"
아로마티카,스킨 케어,티트리 포어 퓨리파잉 젤크림5% Niacinamide + 0.1% PHA,"32,000원","19,200원"
아로마티카,스킨 케어,컴포팅 칼렌듈라 디콕션 쥬시크림,"28,000원","16,800원"
아로마티카,스킨 케어,컴포팅 칼렌듈라 디콕션 인텐시브 크림,"26,000원","15,600원"
아로마티카,스킨 케어,리바이빙 로즈 인퓨전 크림,"45,000원","27,000원"
아로마티카,스킨 케어,수딩 알로에 베라 젤 50ml,"3,000원", 
아로마티카,스킨 케어,수딩 알로에 베라 젤 180ml,"7,000원","4,200원"
아로마티카,스킨 케어,수딩 알로에 베라 젤 500ml,"16,000원","9,600원"
아로마티카,스킨 케어,수딩 알로에 베라 젤 리필 500ml,"15,000원","9,000원"
아로마티카,스킨 케어,티트리 카밍 젤 50ml,"3,000원", 
아로마티카,스킨 케어,티트리 카밍 젤 300ml,"10,000원","6,000원"
아로마티카,스킨 케어,시카 카밍 젤,"10,000원","6,000원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 올인원 로션 300ml,"22,000원","13,200원"
아로마티카,스킨 케어,바이탈라이징 로즈마리 올인원 로션 리필 500ml,"28,000원","16,800원"
아로마티카,스킨 케어,유기농 로즈힙 오일,"25,000원","15,000원"
아로마티카,스킨 케어,티트리 그린 오일,"25,000원","15,000원"
아로마티카,스킨 케어,유기농 골든 호호바 오일,"25,000원","15,000원"
아로마티카,스킨 케어,유기농 네롤리 브라이트닝 페이셜 오일,"25,000원","15,000원"
아로마티카,스킨 케어,티트리 53 블레미쉬 스팟,"13,000원","7,800원"
아로마티카,스킨 케어,컴포팅 칼렌듈라 디콕션 밤,"12,000원","7,200원"
아로마티카,스킨 케어,홀리스틱 레미디 어노인팅 (동방박사) 밤,"16,000원","9,600원"
아로마티카,스킨 케어,수딩 알로에 미네랄 선스크린 SPF50+/PA++++,"22,000원","13,200원"
아로마티카,스킨 케어,카카두 유스 글로우 비타 크림1% Hemisqualane + 1% Collagen sol.,"32,000원","19,200원"
