브랜드명,소분류명,상품명,정가,할인가
오엠,cleansing,[이효리클렌징]세이지 마사지 클린징 밀크 250ml,"80,000원", 
오엠,cleansing,트루 라벤더 솝 80g,"25,000원", 
오엠,cleansing,로즈 솝 80g,"25,000원", 
오엠,cleansing,캐모마일 솝 80g,"25,000원", 
오엠,toner,부처브룸 토너 아스트린젠트 200ml,"60,000원", 
오엠,face-oils-serums,리포솜 럭스 앰플 30ml,"108,000원", 
오엠,face-oils-serums,리포솜 럭스 에센스 100ml,"68,000원", 
오엠,face-oils-serums,리포솜 럭스 앰플 & 에센스,"176,000원","158,400원"
오엠,face-oils-serums,보라지 페이스 오일 10ml,"78,000원", 
오엠,face-oils-serums,페이스 토닉 오일 10ml,"78,000원", 
오엠,face-oils-serums,엘리지리아 세럼 30ml,"198,000원", 
오엠,face-oils-serums,칼렌둘라 브라이트닝 세럼 30ml,"115,000원", 
오엠,creams,라벤더 하이드레이팅 크림 50ml,"110,000원", 
오엠,creams,미울리바 널싱 나이트 크림 50ml,"149,000원", 
오엠,creams,미울리바 하이드레이팅 크림 50ml,"130,000원", 
오엠,creams,엘리지리아 크림 50ml,"240,000원", 
오엠,special-care,미울리바 아이크림 30ml,"110,000원", 
오엠,special-care,[멀티밤] 페이스 토닉 밤 30ml,"139,000원", 
오엠,lotions,이모르뗄 핸드 크림 30ml,"39,000원", 
오엠,lotions,[NEW]타임 뉴트리션 핸드 크림 30ml,"16,000원", 
오엠,lotions,[핸드세럼]타임 모이스처라이징 세럼 30ml,"16,000원", 
오엠,lotions,히드로플루이드 로션,"36,000원", 
오엠,body-oils,[재입고][NEW]임팩트 오일,"44,000원", 
오엠,body-oils,[재입고][NEW]릴렉스 바디 오일,"34,000원", 
오엠,body-oils,[재입고][NEW]토닉 바디 오일,"34,000원", 
오엠,body-oils,[재입고][NEW]바디 오일,"30,000원", 
오엠,cleansers,퍼퓸드 배스 밀크,"63,000원", 
오엠,cleansers,트리 라벤더 샴푸,"63,000원", 
오엠,bath-preparation,라벤더 릴렉싱 배스 오일 200ml,"99,000원", 
오엠,bath-preparation,로즈마리 토닉 배스 오일 200ml,"99,000원", 
오엠,bath-preparation,배스 오일 솔트 - 발사믹 300g/20ml,"75,000원", 
오엠,bath-preparation,배스 오일 솔트 - 라벤더 300g/20ml,"75,000원", 
오엠,bath-preparation,배스 오일 솔트 - 몬타우토 300g/20ml,"75,000원", 
오엠,bath-preparation,배스 오일 솔트 - 릴렉싱 300g/20ml,"75,000원", 
오엠,aroma,레몬 에센셜 오일 10ml,"38,000원", 
오엠,aroma,라벤더 에센셜 오일 10ml,"38,000원", 
오엠,aroma,로즈마리 에센셜 오일 10ml,"33,000원", 
오엠,aroma,스위트 오렌지 에센셜 오일 10ml,"33,000원", 
오엠,aroma,시더우드 에센셜 오일 10ml,"33,000원", 
오엠,aroma,타임 에센셜 오일 10ml,"48,000원", 
오엠,aroma,마린파인 에센셜 오일 10ml,"33,000원", 
오엠,aroma,싸이프러스 에센셜 오일 10ml,"38,000원", 
오엠,aroma,주니퍼 에센셜 오일 10ml,"48,000원", 
오엠,aroma,미르토 에센셜 오일 10ml,"43,000원", 
오엠,aroma,세이지 에센셜 오일 10ml,"56,000원", 
오엠,aroma,오레가노 에센셜 오일 10ml,"43,000원", 
오엠,aroma,월계수 에센셜 오일 10ml,"56,000원", 
오엠,aroma,엘리지리아 에센셜 오일 10ml,"120,000원", 
오엠,aroma,유칼립투스 에센셜 오일 10ml (New),"33,000원", 
오엠,aroma,히솝 에센셜 오일 10ml,"43,000원", 
