브랜드명,소분류명,상품명,정가,할인가
이든 미네랄,프라이머,아이리스 페이스 프라이머,"42,000원", 
이든 미네랄,파운데이션,롱웨어 리퀴드 파운데이션 노르딕 베일,"48,000원", 
이든 미네랄,파운데이션,모이스처 리퀴드 파운데이션 노르스켄,"48,000원", 
이든 미네랄,파운데이션,파우더 파운데이션,"48,000원", 
이든 미네랄,블러셔,미네랄 블러셔 & 브러쉬 세트,"66,000원","52,800원"
이든 미네랄,블러셔,미네랄 블러셔 아케바,"42,000원", 
이든 미네랄,블러셔,미네랄 블러셔 할론,"42,000원", 
이든 미네랄,블러셔,미네랄 블러셔 트란바,"42,000원", 
이든 미네랄,블러셔,미네랄 블러셔 하브톤,"42,000원", 
이든 미네랄,컨투어링,미네랄 브론저 & 브러쉬 세트,"66,000원","52,800원"
이든 미네랄,컨투어링,미네랄 브론저,"42,000원", 
이든 미네랄,파우더,파우더 파운데이션 & 브러쉬 세트,"82,000원","65,600원"
이든 미네랄,파우더,프레스드 파우더 튜바,"38,000원", 
이든 미네랄,마스카라,마그나 렝쓰닝 마스카라,"36,000원", 
이든 미네랄,마스카라,마그나 볼륨 마스카라,"36,000원", 
이든 미네랄,아이섀도우,아이섀도우 팔레트,"42,000원", 
이든 미네랄,아이섀도우,아이섀도우 싱글,"22,000원", 
이든 미네랄,페이스,리퀴드 파운데이션 브러쉬,"36,000원", 
이든 미네랄,페이스,라지 파우더 브러쉬,"38,000원", 
이든 미네랄,페이스,블러셔 & 브론저 브러쉬,"24,000원", 
이든 미네랄,페이스,휴대용 가부키 브러쉬,"34,000원", 
이든 미네랄,페이스,가부키 브러쉬,"34,000원", 
이든 미네랄,아이,프리시젼 아이섀도우 브러쉬,"18,000원", 
이든 미네랄,아이,앵글드 블렌딩 브러쉬,"18,000원", 
이든 미네랄,아이,아이섀도우 브러쉬,"18,000원", 
이든 미네랄,cleansing,페이스 & 아이 미네랄 클렌징 로션,"34,000원", 
