브랜드명,소분류명,상품명,정가,할인가
클레어스,클렌징,리치 모이스트 포밍 클렌저,"12,500원", 
클레어스,클렌징,젠틀 블랙 프레쉬 클렌징 오일,"16,900원", 
클레어스,클렌징,젠틀 블랙 딥 클렌징 오일,"14,900원", 
클레어스,클렌징,GENTLE BLACK duo,"25,400원","22,800원"
클레어스,클렌징,GENTLE BLACK BOX,"43,900원","39,500원"
클레어스,클렌징,젠틀 블랙 슈거 페이셜 폴리쉬,"18,500원", 
클레어스,클렌징,유스풀 글로우 슈거 마스크,"21,000원", 
클레어스,클렌징,서플 프레퍼레이션 바디 솝,"10,500원", 
클레어스,클렌징,클렌징의 정석 set,"31,000원","27,900원"
클레어스,클렌징,리치 모이스트 페이셜 솝,"10,500원", 
클레어스,클렌징,젠틀 블랙 슈거 차콜 솝,"10,500원", 
클레어스,토너/미스트,서플 프레퍼레이션 페이셜 토너,"12,900원", 
클레어스,토너/미스트,펀더멘탈 앰플 미스트,"28,000원", 
클레어스,토너/미스트,서플 프레퍼레이션 언센티드 토너,"12,900원", 
클레어스,토너/미스트,유분없는 수분링거 set ,"30,400원","27,300원"
클레어스,토너/미스트,데일리 스킨 하이드레이팅 워터,"26,900원", 
클레어스,토너/미스트,데일리 스킨 소프닝 워터,"26,900원", 
클레어스,세럼/에센스,프레쉴리 쥬스드 비타민 드롭,"21,900원", 
클레어스,세럼/에센스,RECOVERY duo,"51,400원","46,200원"
클레어스,세럼/에센스,CALM NIGHT duo,"43,800원","39,400원"
클레어스,세럼/에센스,BASIC & BEST set,"49,900원","44,900원"
클레어스,세럼/에센스,펀더멘탈 워터리 오일 드롭,"31,900원", 
클레어스,세럼/에센스,펀더멘탈 아이 어웨이크닝 젤,"25,500원", 
클레어스,세럼/에센스,리치 모이스트 수딩 세럼,"17,500원", 
클레어스,세럼/에센스,미드나잇 블루 유스 액티베이팅 드롭,"29,500원", 
클레어스,로션/크림,리치 모이스트 수딩크림 ,"19,500원", 
클레어스,로션/크림,미드나잇 블루 카밍 크림 [60ml],"29,500원", 
클레어스,로션/크림,미드나잇 블루 카밍 크림,"21,900원", 
클레어스,로션/크림,펀더멘탈 너리싱 아이 버터,"24,500원", 
클레어스,로션/크림,서플 프레퍼레이션 올오버로션,"22,900원", 
클레어스,로션/크림,펀더멘탈 워터 젤 크림,"31,900원", 
클레어스,로션/크림,SKIPCARE duo ,"59,900원","50,900원"
클레어스,로션/크림,비타민 E 마스크 미니어쳐 15ml,"9,000원", 
클레어스,마스크/팩,프레쉴리 쥬스드 비타민E 마스크,"29,400원", 
클레어스,마스크/팩,리치 모이스트 수딩 텐셀 시트 마스크,"3,000원", 
클레어스,마스크/팩,미드나잇 블루 카밍 시트 마스크,"3,000원", 
